"temperature_2m","windspeed_100m","sin_wd_100","Power"
18.2,9.27,-0.951056516295154,0.3921
17.4,8.86,-0.90630778703665,0.428
16.7,7.83,-0.891006524188368,0.4638
15.2,7.2,-0.891006524188368,0.4997
14.3,6.93,-0.891006524188368,0.5355
13.8,6.75,-0.891006524188368,0.5212
14.5,5.99,-0.898794046299167,0.4568
11.2,5.15,-0.874619707139396,0.3924
13.9,5.05,-0.829037572555042,0.328
17.6,5.62,-0.629320391049838,0.2635
18.6,4.69,-0.559192903470747,0.1991
19.3,4,-0.601815023152048,0.1347
19.6,3.66,-0.573576436351046,0.0956
19.8,3.14,-0.515038074910054,0.0818
19.7,2.64,-0.484809620246337,0.068
19.2,1.97,-0.5,0.0542
16.1,2.26,-0.224951054343865,0.0404
13.6,3.13,0.121869343405147,0.0266
15.4,2.55,-0.190808995376545,0.0208
17,2.92,0.104528463267653,0.0231
16.1,2.94,0.309016994374947,0.0254
15.2,3.01,0.3583679495453,0.0277
14.8,3.06,0.615661475325658,0.03
15.8,2.48,0.766044443118978,0.0323
16.3,1.92,0.777145961456971,0.0346
16.4,1.32,0.987688340595138,0.0369
16.9,1.3,0.390731128489274,0.0392
18.9,2.3,0.0348994967025011,0.0415
20.2,3.11,-0.0697564737441253,0.0438
19.7,3.52,-0.121869343405147,0.0431
16.6,3.72,-0.104528463267653,0.0392
19,3.71,-0.0871557427476579,0.0354
20,3.22,-0.121869343405147,0.0316
22,2.66,-0.342020143325669,0.0277
24.3,2.87,-0.484809620246337,0.0239
25.8,3.12,-0.766044443118978,0.02
27.1,3.22,-0.866025403784438,0.0385
28.2,3.42,-0.965925826289068,0.0791
28.7,3.57,-0.981627183447664,0.1198
28.5,3.81,-0.998629534754574,0.1605
25.6,4.72,-0.996194698091746,0.2012
22.6,5.74,-0.992546151641322,0.2418
19,6.34,-0.994521895368273,0.2561
21.6,6.46,-0.99026806874157,0.2439
21.7,6.59,-0.984807753012208,0.2316
22,6.81,-0.998629534754574,0.2194
22.2,7.26,-0.992546151641322,0.2072
21.8,7.28,-0.933580426497202,0.195
20.9,6.74,-0.848048096156426,0.1828
20.2,6.28,-0.798635510047293,0.1706
19.5,5.69,-0.777145961456971,0.1584
18.9,5.02,-0.73135370161917,0.1461
18.6,4.33,-0.64278760968654,0.1339
18.4,3.47,-0.719339800338651,0.12
15.9,3.05,-0.848048096156426,0.1042
16.8,2.62,-0.951056516295154,0.0885
18.2,2.1,-0.998629534754574,0.0728
22.7,1.48,-0.882947592858927,0.0571
26.1,1.25,-0.484809620246337,0.0414
28.9,2.2,-0.5,0.0257
30.7,2.39,-0.544639035015027,0.0183
32.1,3.08,-0.587785252292473,0.0192
32.3,3.05,-0.656059028990507,0.0202
31.9,3.56,-0.615661475325658,0.0211
26.7,3.24,-0.829037572555042,0.022
25.4,3.61,-0.719339800338651,0.023
21.2,5.8,-0.809016994374947,0.0485
24.1,5.59,-0.874619707139396,0.0987
24,6.28,-0.857167300702112,0.1489
24.1,6.59,-0.866025403784438,0.199
24.4,7.02,-0.898794046299167,0.2492
24.4,7.12,-0.913545457642601,0.2994
24.3,7.22,-0.857167300702112,0.3495
24,6.76,-0.874619707139396,0.3997
23.5,6.64,-0.857167300702112,0.4499
23.1,6.67,-0.866025403784438,0.5001
23.5,6.95,-0.866025403784438,0.5502
23.6,6.4,-0.874619707139396,0.5426
23.5,6.41,-0.857167300702112,0.4771
22.9,6.46,-0.819152044288992,0.4116
24.8,6.18,-0.777145961456971,0.3461
28.4,5.45,-0.719339800338651,0.2806
32.4,3.47,-0.719339800338651,0.2151
35.7,3.56,-0.615661475325658,0.1496
38.1,3.42,-0.615661475325658,0.1232
38.2,3.19,-0.529919264233205,0.1359
36.6,3.09,-0.484809620246337,0.1485
35.7,3.09,-0.484809620246337,0.1612
33.6,3.83,-0.342020143325669,0.1738
31.6,4.46,-0.275637355816999,0.1865
30.2,5.06,-0.309016994374947,0.2227
29.8,5.54,-0.121869343405147,0.2824
30.2,4.85,0.374606593415912,0.3422
30.5,5.72,0.587785252292473,0.4019
30.8,6.02,0.669130606358858,0.4617
31.2,5.99,0.544639035015027,0.5214
31.4,6.5,0.798635510047293,0.5812
31.6,8.08,0.857167300702112,0.6409
31.8,8.18,0.777145961456971,0.7006
32.1,8.61,0.857167300702112,0.7604
32.4,8.41,0.882947592858927,0.8201
32.9,8.19,0.913545457642601,0.8119
34.1,8.64,0.939692620785908,0.7357
34.5,7.45,0.927183854566787,0.6595
34.6,5.79,0.933580426497202,0.5833
35.2,6.46,0.961261695938319,0.5071
36.6,7.65,0.956304755963036,0.4309
36.5,6.76,0.913545457642601,0.3547
36.3,5.51,0.874619707139396,0.298
36.2,4.42,0.788010753606722,0.2608
35.9,2.85,0.309016994374948,0.2236
36.3,3.47,-0.978147600733806,0.1864
36,5.26,-0.970295726275997,0.1492
35.3,4.96,-0.945518575599317,0.112
35.5,6.79,-0.987688340595138,0.0995
34.1,8,-1,0.1118
33.5,7.73,-0.996194698091746,0.124
33.3,7.16,-0.992546151641322,0.1362
33.2,6.97,-0.99026806874157,0.1484
33,6.81,-0.984807753012208,0.1606
32.9,6.59,-0.984807753012208,0.1728
32.8,6.4,-0.970295726275997,0.1851
32.5,5.57,-0.951056516295154,0.1973
32.2,5.28,-0.945518575599317,0.2095
32.1,5.91,-0.882947592858927,0.2217
32,4.79,-0.898794046299167,0.2331
32.4,3.95,-0.987688340595138,0.2436
32.6,4.5,-0.998629534754574,0.2542
33.5,5.35,-0.99026806874157,0.2647
34.8,5.12,-0.997564050259824,0.2752
36.2,5.71,-0.997564050259824,0.2858
37.3,6.13,-0.994521895368273,0.2963
38.3,6.04,-0.978147600733806,0.3263
39.7,6.28,-0.970295726275996,0.3756
40.2,5.94,-0.974370064785235,0.425
40,5.69,-0.913545457642601,0.4744
38.6,6.6,-0.848048096156426,0.5237
37.5,7.46,-0.819152044288992,0.5731
35.8,8.1,-0.838670567945424,0.5944
36.1,8.32,-0.838670567945424,0.5876
36.2,9.04,-0.874619707139396,0.5808
35.7,9.4,-0.913545457642601,0.574
34.9,9.08,-0.956304755963035,0.5673
33.3,8.61,-0.987688340595138,0.5605
32.4,8.1,-0.974370064785235,0.5537
31.8,7.01,-0.970295726275996,0.5469
31.6,6.18,-0.970295726275996,0.5401
31.2,5.79,-0.933580426497202,0.5333
30.8,4.92,-0.913545457642601,0.5265
30.2,6.46,-0.819152044288992,0.4888
29.3,7.2,-0.90630778703665,0.4201
29.3,6.06,-0.974370064785235,0.3514
30.7,5.76,-0.956304755963035,0.2827
32.9,4.34,-0.965925826289068,0.214
33.9,3.92,-0.945518575599317,0.1452
35.7,2.82,-0.891006524188368,0.0765
37.5,1.97,-0.5,0.0405
38.9,3.4,-0.469471562785891,0.0372
39.3,2.95,-0.469471562785891,0.0339
39.1,3.18,-0.224951054343865,0.0305
35.9,3.51,-0.0523359562429436,0.0272
32.1,3.13,0.292371704722737,0.0239
30.7,3.47,0.719339800338651,0.0224
30.3,5.42,0.390731128489274,0.0229
29.6,4.85,0.241921895599668,0.0234
29.4,5.55,0.241921895599668,0.0239
29.5,5.12,0.207911690817759,0.0244
29.8,5.55,0.241921895599668,0.0248
29.8,4.99,0.544639035015027,0.0253
30.1,5.08,0.587785252292473,0.0258
30.3,5.28,0.798635510047293,0.0263
30.3,5.91,0.913545457642601,0.0268
30.8,6.64,0.951056516295154,0.0273
31,6.69,0.848048096156426,0.0413
30.8,5.24,0.819152044288992,0.0688
30.8,5.91,0.998629534754574,0.0964
32,6.72,0.997564050259824,0.1239
33.5,6.02,0.933580426497202,0.1515
34.1,4.95,0.99026806874157,0.179
35.9,5.12,0.997564050259824,0.2065
36.4,4.4,1,0.2064
35.6,3.93,0.992546151641322,0.1786
35.3,4.62,0.996194698091746,0.1508
35.4,4.34,0.99026806874157,0.123
34.9,3.26,0.981627183447664,0.0952
34,1.3,0.848048096156426,0.0673
33.4,1.9,-0.0523359562429436,0.0577
33.9,3.47,-0.694658370458997,0.0662
34.3,4.64,-0.798635510047293,0.0747
34.5,5.9,-0.777145961456971,0.0833
34.7,6.14,-0.866025403784438,0.0918
34.8,5.9,-0.898794046299167,0.1003
34.6,5.5,-0.90630778703665,0.1088
35,4.41,-0.838670567945424,0.1174
34.5,3.2,-0.629320391049838,0.1259
34.7,3.09,-0.422618261740699,0.1344
35.8,3.4,0.241921895599668,0.1429
37,5.98,0.615661475325658,0.1494
35.6,5.61,0.642787609686539,0.154
35.8,6.06,0.615661475325658,0.1585
37.4,6.31,0.484809620246337,0.163
39.3,6.32,0.390731128489274,0.1675
41.3,6.36,0.275637355816999,0.172
43.2,6.26,0.292371704722737,0.1765
45.1,6.38,0.156434465040231,0.1741
48.3,5.11,-0.0523359562429436,0.1649
49.8,5.77,-0.156434465040231,0.1557
49.1,5.53,-0.224951054343865,0.1465
46.4,6,0.0348994967025011,0.1373
43.2,6.93,0.342020143325669,0.128
41.1,7.24,0.573576436351046,0.1195
40.4,7.38,0.422618261740699,0.1118
42,7.47,0.422618261740699,0.104
39.8,6.7,0.0174524064372834,0.0962
40.4,6.2,1.22460635382238e-16,0.0884
41.3,6.56,-0.139173100960066,0.0806
42.6,5.87,-0.241921895599668,0.0728
42.9,5.19,-0.422618261740699,0.0651
38.8,4.56,-0.615661475325658,0.0573
36.6,3.29,-0.342020143325669,0.0495
35.7,3.24,-0.156434465040231,0.0417
35,2.4,1.22460635382238e-16,0.0428
34,1.71,0.121869343405148,0.0527
34.1,2.28,0.258819045102521,0.0627
36.8,3.61,0.0523359562429438,0.0727
38.7,2.86,-0.20791169081776,0.0826
40.7,2.51,-0.0871557427476579,0.0926
43.5,1.75,0.515038074910054,0.1025
45.6,1.77,0.731353701619171,0.1021
45,2.52,0.992546151641322,0.0913
44.8,3.2,0.970295726275996,0.0805
42.6,4.65,0.90630778703665,0.0698
38.8,4.25,0.891006524188368,0.059
37.2,1.68,0.956304755963036,0.0482
37.7,0.91,0.994521895368273,0.0456
36.3,2.6,0.961261695938319,0.0511
37.7,5.26,0.987688340595138,0.0566
38.3,5.47,0.987688340595138,0.0621
38.3,7.3,0.92050485345244,0.0676
37.4,6.35,0.882947592858927,0.0731
36.9,5.83,0.927183854566787,0.0786
36.7,5.87,0.970295726275996,0.0841
36.6,5.8,0.965925826289068,0.0897
35.8,5.2,1,0.0952
35.7,5.76,0.99026806874157,0.1007
35.8,6.3,0.984807753012208,0.1031
36.4,5.71,0.998629534754574,0.1024
36.2,5.71,0.997564050259824,0.1017
36.7,5.46,0.99026806874157,0.1009
37.5,5.72,0.996194698091746,0.1002
38.4,5.8,0.999847695156391,0.0995
38.2,5.22,0.996194698091746,0.0988
38.6,4.34,0.99026806874157,0.1097
39.3,3.72,0.994521895368273,0.1321
38.8,3.86,0.984807753012208,0.1546
38.4,3.69,0.838670567945424,0.177
37.7,4.5,0.798635510047293,0.1995
37.2,5.09,0.73135370161917,0.2219
36.4,5.08,0.809016994374947,0.223
36.6,5.69,0.951056516295154,0.2028
36.7,5.71,0.998629534754574,0.1826
35.8,6.01,0.998629534754574,0.1623
34.3,4.7,0.999847695156391,0.1421
33.3,5.22,0.996194698091746,0.1219
33.1,6.06,0.974370064785235,0.1016
33,4.55,0.945518575599317,0.0814
32.9,4.09,0.927183854566787,0.0612
33,3.72,0.809016994374947,0.041
32.8,3.97,0.829037572555042,0.0207
33,3.47,0.838670567945424,0.0136
33,0.67,-0.453990499739547,0.0196
33,2.1,-0.998629534754574,0.0256
33.9,3.32,-0.933580426497202,0.0316
34.7,3.76,-0.90630778703665,0.0375
