"temperature_2m","windspeed_100m","sin_wd_100","Power"
37.3,4.2,0.207911690817759,0.0947
36.5,4.71,0.207911690817759,0.1026
34.5,5.2,0.190808995376545,0.1104
29.3,5.36,0.156434465040231,0.1183
28.5,5.87,0.390731128489274,0.1214
30.3,5.28,0.484809620246337,0.1198
30.5,5.48,0.615661475325658,0.1182
30.1,5.94,0.587785252292473,0.1166
28.9,5.45,0.681998360062499,0.115
28.5,5.17,0.731353701619171,0.1134
28.5,5.32,0.656059028990507,0.1118
28.5,4.36,0.529919264233205,0.1102
28.7,4.34,0.615661475325658,0.1086
28.7,4.1,0.707106781186548,0.107
28.7,3.76,0.766044443118978,0.1054
28.7,3.85,0.882947592858927,0.1038
28.7,4.57,0.984807753012208,0.1022
28.8,5.15,0.99026806874157,0.1006
28.9,6.09,0.970295726275996,0.099
29.5,6,0.999390827019096,0.0974
30.3,5.61,0.998629534754574,0.0958
30.1,5.81,0.997564050259824,0.0941
30.4,5.14,0.974370064785235,0.0925
30.7,5.02,0.857167300702112,0.0909
30.8,5.33,0.766044443118978,0.0893
30.9,5.8,0.719339800338651,0.0877
30.9,5.8,0.707106781186547,0.0861
30.7,6.09,0.669130606358858,0.0845
30.7,6.41,0.390731128489274,0.0829
30.8,6.76,0.4067366430758,0.0813
30.8,6.21,0.258819045102521,0.0797
30.8,6,0.0174524064372835,0.0781
30.8,5.2,-2.44921270764475e-16,0.0765
30.8,5.3,-0.190808995376545,0.0749
30.8,6.4,-0.453990499739547,0.0733
30.6,8.16,-0.515038074910054,0.0717
30,7.66,-0.4067366430758,0.0701
29.8,7.56,-0.469471562785891,0.0684
29.8,6.71,-0.453990499739547,0.0668
30,7.03,-0.5,0.0652
29.6,6.96,-0.529919264233205,0.0636
29.3,6.96,-0.529919264233205,0.062
29.7,5.89,-0.64278760968654,0.0604
30.8,6.06,-0.788010753606722,0.0588
31.7,5.46,-0.898794046299167,0.0572
32.2,5.35,-0.933580426497202,0.0556
33.5,5.77,-0.970295726275997,0.054
34.2,6.12,-0.981627183447664,0.0524
34.2,6.18,-0.970295726275997,0.0508
34,5.66,-0.956304755963035,0.0492
33.5,4.73,-0.974370064785235,0.0476
30.7,5.14,-0.992546151641322,0.046
26.4,5.73,-0.961261695938319,0.0444
25.6,6.44,-0.882947592858927,0.0427
24.5,7.13,-0.829037572555042,0.0411
23.7,7.04,-0.777145961456971,0.0395
23.4,6.67,-0.766044443118978,0.0379
23.5,6.79,-0.707106781186547,0.0363
23.8,7.56,-0.601815023152048,0.0347
24.2,7.61,-0.629320391049838,0.0331
25.1,8.89,-0.629320391049838,0.0315
26.3,9.5,-0.656059028990507,0.0299
27.7,9.69,-0.694658370458997,0.0283
28.7,9.34,-0.743144825477394,0.0267
29,7.64,-0.707106781186547,0.0251
29.4,8.83,-0.515038074910054,0.0235
29.1,8.46,-0.484809620246337,0.0219
33.1,9.66,-0.438371146789077,0.0203
38.4,8.36,-0.469471562785891,0.0187
43,7.05,-0.529919264233205,0.0171
46.2,6.8,-0.544639035015027,0.0651
49.1,6.6,-0.573576436351046,0.1628
50.6,7.13,-0.559192903470747,0.2605
50.5,7.2,-0.422618261740699,0.3582
48.5,8.77,-0.4067366430758,0.4559
43.8,9.02,-0.3583679495453,0.5536
37.3,9.05,-0.224951054343865,0.609
36.4,9.24,-0.17364817766693,0.6221
35.6,9.69,-0.139173100960066,0.6352
35.2,10.31,-0.139173100960066,0.6482
34.7,10.36,-0.224951054343865,0.6613
34.2,10.07,-0.275637355816999,0.6744
33.8,9.55,-0.309016994374947,0.6874
33,8.38,-0.342020143325669,0.7005
32.6,8.48,-0.292371704722737,0.7136
32.2,7.86,-0.121869343405147,0.7266
31.4,7.71,0.0348994967025011,0.7397
31.7,7,1.22460635382238e-16,0.7173
31.4,6.12,0.190808995376545,0.6595
32.3,5.61,0.190808995376545,0.6017
33.5,7.6,0.3583679495453,0.5438
36,7.6,0.275637355816999,0.486
38.5,6.8,0.342020143325669,0.4281
38.7,6.89,0.4067366430758,0.3703
39.9,5.78,0.390731128489274,0.3183
41.5,5.46,0.4067366430758,0.2722
41.5,4.83,0.4067366430758,0.2262
41,4.72,0.529919264233205,0.1801
40.3,4.92,0.615661475325658,0.134
38.1,5.59,0.681998360062499,0.0879
34,5.64,0.866025403784439,0.0642
33.5,5.35,0.838670567945424,0.0628
33.2,4.68,0.669130606358858,0.0614
32.9,4.43,0.422618261740699,0.06
32.6,4.1,0.224951054343865,0.0587
32.4,3.82,0.104528463267654,0.0573
32.2,3.63,0.139173100960065,0.0559
32.2,4,0.224951054343865,0.0545
31.9,3.91,-0.0523359562429436,0.0531
31.9,3.5,-0.601815023152048,0.0517
31.8,2.64,-0.874619707139396,0.0504
32,1.6,0.0697564737441255,0.049
33,2.42,0.615661475325658,0.0476
33.6,3.45,0.866025403784439,0.0462
33.8,3.72,0.857167300702112,0.0448
35,4.48,0.484809620246337,0.0435
36.3,5.32,0.275637355816999,0.0421
37,3.36,0.5,0.0407
37.7,3.25,0.707106781186548,0.059
38.4,4.18,0.669130606358858,0.0971
38.6,4.75,0.754709580222772,0.1351
40,5.33,0.642787609686539,0.1731
39.3,5.94,0.587785252292473,0.2112
38.1,6.63,0.559192903470747,0.2492
37.7,6.61,0.777145961456971,0.2569
37.3,6.88,0.754709580222772,0.2341
37,6.86,0.798635510047293,0.2114
36.9,7.29,0.838670567945424,0.1886
36.8,6.72,0.798635510047293,0.1659
36.7,5.4,0.777145961456971,0.1431
36.9,5.25,0.766044443118978,0.1204
36.9,4.9,0.777145961456971,0.0976
36.7,4.75,0.656059028990507,0.0749
36.5,4.25,0.4067366430758,0.0521
36.2,3.81,0.0523359562429438,0.0294
36,3.58,-0.390731128489274,0.0201
37.7,2.39,-0.838670567945424,0.0243
36.8,2.6,-0.390731128489274,0.0286
37,3.37,-0.20791169081776,0.0328
37.8,4.11,-0.309016994374947,0.037
38.8,4.57,-0.484809620246337,0.0413
39.7,5.24,-0.573576436351046,0.0455
40.5,5.66,-0.743144825477394,0.0467
41.6,5.8,-0.848048096156426,0.0449
42.6,6.5,-0.798635510047293,0.0431
42.4,6.71,-0.882947592858927,0.0414
41.8,5.19,-0.882947592858927,0.0396
40.2,4.54,-0.99026806874157,0.0378
36,4.46,-0.987688340595138,0.0412
33.6,5.99,-0.898794046299167,0.05
32.5,6.76,-0.874619707139396,0.0587
30.5,6.24,-0.848048096156426,0.0674
29.2,5.69,-0.857167300702112,0.0761
29.1,5.95,-0.874619707139396,0.0849
29.1,6.5,-0.857167300702112,0.0936
29.1,7.61,-0.777145961456971,0.1023
29.4,7.29,-0.681998360062498,0.1111
28.9,5.94,-0.707106781186548,0.1198
28.9,5.3,-0.694658370458998,0.1285
28.4,4.97,-0.866025403784439,0.1396
30.6,5.04,-0.629320391049838,0.153
32,4.82,-0.669130606358858,0.1664
32.6,5.5,-0.601815023152048,0.1798
33.6,5.99,-0.469471562785891,0.1931
35.7,5.74,-0.390731128489274,0.2065
36.7,4.92,-0.4067366430758,0.2199
37.6,4.92,-0.453990499739547,0.2424
38,5.73,-0.484809620246337,0.2739
38.3,6.26,-0.484809620246337,0.3055
39.3,6.63,-0.559192903470747,0.337
38.9,6.59,-0.656059028990507,0.3686
38.7,6.59,-0.669130606358858,0.4001
34.9,6.47,-0.777145961456971,0.4031
34.2,6.9,-0.777145961456971,0.3777
33.3,7.96,-0.819152044288992,0.3522
32.3,7.79,-0.743144825477395,0.3267
31.5,7.8,-0.754709580222772,0.3012
30.9,7.28,-0.694658370458998,0.2758
30.5,6.86,-0.719339800338651,0.2503
30.6,6.15,-0.719339800338651,0.2248
30.4,5.37,-0.707106781186548,0.1993
30.1,5.22,-0.848048096156426,0.1738
30.1,5.69,-0.913545457642601,0.1484
30.4,5.67,-0.754709580222772,0.1301
30.2,4.8,-0.857167300702112,0.1192
